timestamp_utc,device_index,device_class,controller_role,position_x,position_y,position_z,rotation_w,rotation_x,rotation_y,rotation_z,pose_valid,tracking_result
2026-04-06T12:57:11.9874539Z,6,Controller,LeftHand,1.08875144,0.713750601,0.138645649,0.819188774,-0.132408366,-0.552659392,0.0772372782,true,Running_OK
2026-04-06T12:57:11.9985647Z,0,HMD,Hmd,0.704209208,1.21277487,0.0845000744,0.779978037,0.103633523,-0.60477823,0.123035684,true,Running_OK
2026-04-06T12:57:11.9985647Z,4,Controller,RightHand,1.08883643,0.707174182,0.209821105,0.880080044,-0.000504980679,-0.447311938,-0.15928261,true,Running_OK
2026-04-06T12:57:11.9985647Z,6,Controller,LeftHand,1.08874702,0.713815928,0.138646126,0.819172323,-0.132490203,-0.552655876,0.0772966892,true,Running_OK
2026-04-06T12:57:12.0096782Z,0,HMD,Hmd,0.704231977,1.21294951,0.084485054,0.780205667,0.104247503,-0.604518831,0.122346297,true,Running_OK
2026-04-06T12:57:12.0096782Z,4,Controller,RightHand,1.08852291,0.707353234,0.209785819,0.88047719,-0.000228828867,-0.447445184,-0.156693235,true,Running_OK
2026-04-06T12:57:12.0096782Z,6,Controller,LeftHand,1.08873725,0.71392107,0.138543248,0.819072664,-0.132708222,-0.552753687,0.0772790983,true,Running_OK
2026-04-06T12:57:12.0207895Z,0,HMD,Hmd,0.704342723,1.21312213,0.0844808817,0.780273378,0.105095923,-0.604466975,0.121441595,true,Running_OK
2026-04-06T12:57:12.0207895Z,4,Controller,RightHand,1.0883013,0.707613945,0.209732771,0.880930007,5.41034642E-05,-0.447624028,-0.153607279,true,Running_OK
2026-04-06T12:57:12.0207895Z,6,Controller,LeftHand,1.08864868,0.71386373,0.1384691,0.819051504,-0.132837132,-0.552736998,0.0774009675,true,Running_OK
2026-04-06T12:57:12.0319000Z,0,HMD,Hmd,0.704444408,1.21337605,0.0845028162,0.78017801,0.10609246,-0.60461396,0.120451905,true,Running_OK
2026-04-06T12:57:12.0319000Z,4,Controller,RightHand,1.08807421,0.707885385,0.209679246,0.881367743,0.000316800753,-0.447826177,-0.150474638,true,Running_OK
2026-04-06T12:57:12.0319000Z,6,Controller,LeftHand,1.08870745,0.713744044,0.138402224,0.819055676,-0.132787243,-0.552727163,0.0775128826,true,Running_OK
2026-04-06T12:57:12.0430121Z,0,HMD,Hmd,0.704635859,1.2136631,0.0845717192,0.78000164,0.10699328,-0.604865432,0.119531505,true,Running_OK
2026-04-06T12:57:12.0430121Z,4,Controller,RightHand,1.08773363,0.708168983,0.209694624,0.881821632,0.000631251838,-0.448040336,-0.147140056,true,Running_OK
2026-04-06T12:57:12.0430121Z,6,Controller,LeftHand,1.08868504,0.713790894,0.138390064,0.819035053,-0.132984057,-0.552703798,0.0775596425,true,Running_OK
2026-04-06T12:57:12.0541232Z,0,HMD,Hmd,0.704802394,1.21405387,0.0846879482,0.779798925,0.107782297,-0.605136395,0.118771158,true,Running_OK
2026-04-06T12:57:12.0541232Z,4,Controller,RightHand,1.08752394,0.708419681,0.209516764,0.882267833,0.000791713246,-0.448218882,-0.143884718,true,Running_OK
2026-04-06T12:57:12.0541232Z,6,Controller,LeftHand,1.08864331,0.713775158,0.138355374,0.819030166,-0.133113533,-0.552668691,0.0776392296,true,Running_OK
2026-04-06T12:57:12.0652311Z,0,HMD,Hmd,0.705094099,1.21456766,0.0848311186,0.779628456,0.108409926,-0.605368197,0.11813616,true,Running_OK
2026-04-06T12:57:12.0652311Z,4,Controller,RightHand,1.08744872,0.708845973,0.209100723,0.882753551,0.0011361721,-0.448297918,-0.140620038,true,Running_OK
2026-04-06T12:57:12.0652311Z,6,Controller,LeftHand,1.0886215,0.713738799,0.13836503,0.819014132,-0.13322638,-0.552658141,0.0776902214,true,Running_OK
2026-04-06T12:57:12.0763434Z,0,HMD,Hmd,0.705275178,1.21510386,0.085034132,0.779477119,0.109142847,-0.605485737,0.117857397,true,Running_OK
2026-04-06T12:57:12.0763434Z,4,Controller,RightHand,1.08746147,0.709074378,0.209079742,0.883148968,0.00136929413,-0.448450565,-0.137616321,true,Running_OK
2026-04-06T12:57:12.0763434Z,6,Controller,LeftHand,1.08871698,0.713810921,0.138476968,0.818968177,-0.133386925,-0.55267638,0.0777695253,true,Running_OK
2026-04-06T12:57:12.0874531Z,0,HMD,Hmd,0.705440998,1.215662,0.0854432583,0.779221296,0.110017255,-0.605634689,0.11797078,true,Running_OK
2026-04-06T12:57:12.0874531Z,4,Controller,RightHand,1.08749187,0.709318161,0.209019065,0.883478463,0.00140268926,-0.448617816,-0.134929687,true,Running_OK
2026-04-06T12:57:12.0874531Z,6,Controller,LeftHand,1.08881402,0.713740468,0.138489008,0.818919778,-0.133550391,-0.552705824,0.0777891502,true,Running_OK
2026-04-06T12:57:12.0985651Z,0,HMD,Hmd,0.70564878,1.21630573,0.0858272314,0.779057086,0.110762127,-0.605647445,0.118292406,true,Running_OK
2026-04-06T12:57:12.0985651Z,4,Controller,RightHand,1.08739352,0.709492564,0.208963871,0.883745372,0.00144928147,-0.448760957,-0.132686466,true,Running_OK
2026-04-06T12:57:12.0985651Z,6,Controller,LeftHand,1.08884478,0.71376574,0.138491273,0.818897963,-0.133640543,-0.552711427,0.0778241679,true,Running_OK
2026-04-06T12:57:12.1096774Z,0,HMD,Hmd,0.705813408,1.2169323,0.0863025188,0.778904617,0.111698627,-0.605561972,0.118851855,true,Running_OK
2026-04-06T12:57:12.1096774Z,4,Controller,RightHand,1.0873313,0.709641218,0.208864689,0.883983016,0.00150451728,-0.448855489,-0.130769342,true,Running_OK
2026-04-06T12:57:12.1096774Z,6,Controller,LeftHand,1.08891153,0.71370542,0.138564229,0.818873405,-0.133661553,-0.552737713,0.0778598487,true,Running_OK
2026-04-06T12:57:12.1207896Z,0,HMD,Hmd,0.705987573,1.2176044,0.0869140625,0.778711855,0.112735607,-0.605537117,0.119261779,true,Running_OK
2026-04-06T12:57:12.1207896Z,4,Controller,RightHand,1.08725047,0.709852219,0.208835363,0.884130955,0.00152846798,-0.448995054,-0.129281446,true,Running_OK
2026-04-06T12:57:12.1207896Z,6,Controller,LeftHand,1.08892894,0.713694215,0.138566375,0.818870723,-0.133755952,-0.552715421,0.0778840855,true,Running_OK
2026-04-06T12:57:12.1318987Z,0,HMD,Hmd,0.705971718,1.21826303,0.0875504017,0.778428674,0.1138971,-0.605602622,0.119673632,true,Running_OK
2026-04-06T12:57:12.1318987Z,4,Controller,RightHand,1.08723426,0.709928513,0.208809137,0.884233952,0.00151275657,-0.449050367,-0.128381819,true,Running_OK
2026-04-06T12:57:12.1318987Z,6,Controller,LeftHand,1.08888006,0.713714719,0.13861227,0.818814814,-0.133876324,-0.552766383,0.0779034197,true,Running_OK
2026-04-06T12:57:12.1430093Z,0,HMD,Hmd,0.705931485,1.21886504,0.0881757736,0.778034508,0.115030579,-0.605823636,0.120033525,true,Running_OK
2026-04-06T12:57:12.1430093Z,4,Controller,RightHand,1.08724773,0.709944725,0.208812833,0.884270608,0.0015238662,-0.449073732,-0.128047109,true,Running_OK
2026-04-06T12:57:12.1430093Z,6,Controller,LeftHand,1.08883715,0.71376574,0.13857007,0.818814099,-0.133856863,-0.55277288,0.0778986737,true,Running_OK
2026-04-06T12:57:12.1541207Z,0,HMD,Hmd,0.705770135,1.21939373,0.0890418291,0.777522564,0.116034687,-0.606255472,0.120203897,true,Running_OK
2026-04-06T12:57:12.1541207Z,4,Controller,RightHand,1.08714461,0.709974051,0.208874702,0.884236217,0.00155251706,-0.449007839,-0.128514409,true,Running_OK
2026-04-06T12:57:12.1541207Z,6,Controller,LeftHand,1.08874297,0.713693857,0.138523817,0.818812549,-0.133830264,-0.552785158,0.0778729767,true,Running_OK
2026-04-06T12:57:12.1652323Z,0,HMD,Hmd,0.705510855,1.21999085,0.089846611,0.776914299,0.116968662,-0.60685128,0.12022502,true,Running_OK
2026-04-06T12:57:12.1652323Z,4,Controller,RightHand,1.08717704,0.7097857,0.208835483,0.884130061,0.00150446303,-0.448914647,-0.129566714,true,Running_OK
2026-04-06T12:57:12.1652323Z,6,Controller,LeftHand,1.08866477,0.713658214,0.138589621,0.818841994,-0.133712396,-0.552773178,0.0778511688,true,Running_OK
2026-04-06T12:57:12.1763441Z,0,HMD,Hmd,0.70509088,1.22059321,0.0906738043,0.776348352,0.117814057,-0.607450545,0.120029077,true,Running_OK
2026-04-06T12:57:12.1763441Z,4,Controller,RightHand,1.08723462,0.70970118,0.208889008,0.883944154,0.00151857734,-0.44881013,-0.131186768,true,Running_OK
2026-04-06T12:57:12.1763441Z,6,Controller,LeftHand,1.0886209,0.71366179,0.138593078,0.818866313,-0.133565277,-0.552784503,0.0777674615,true,Running_OK
2026-04-06T12:57:12.1874552Z,0,HMD,Hmd,0.70476687,1.22117519,0.0916001797,0.775859416,0.11854969,-0.608020484,0.119579583,true,Running_OK
2026-04-06T12:57:12.1874552Z,4,Controller,RightHand,1.08731484,0.709484339,0.208968639,0.883729756,0.00141233369,-0.448672265,-0.133090302,true,Running_OK
2026-04-06T12:57:12.1874552Z,6,Controller,LeftHand,1.08862591,0.713718176,0.138434291,0.818848968,-0.133487239,-0.552839935,0.0776897147,true,Running_OK
2026-04-06T12:57:12.1985646Z,0,HMD,Hmd,0.704476476,1.22179544,0.0925172567,0.775412619,0.119252093,-0.608546853,0.119100906,true,Running_OK
2026-04-06T12:57:12.1985646Z,4,Controller,RightHand,1.08746588,0.70926702,0.209042668,0.883399487,0.00136413635,-0.448553294,-0.135659829,true,Running_OK
2026-04-06T12:57:12.1985646Z,6,Controller,LeftHand,1.08868635,0.71382308,0.138534307,0.818865776,-0.13330625,-0.552871704,0.0775975212,true,Running_OK
2026-04-06T12:57:12.2096769Z,0,HMD,Hmd,0.704075158,1.22240281,0.0935587883,0.774944365,0.120103501,-0.609080613,0.11856354,true,Running_OK
2026-04-06T12:57:12.2096769Z,4,Controller,RightHand,1.08766794,0.709152341,0.209148407,0.883064151,0.00126039179,-0.448371142,-0.138417989,true,Running_OK
2026-04-06T12:57:12.2096769Z,6,Controller,LeftHand,1.08871913,0.713804603,0.138563037,0.818896592,-0.133111864,-0.552884042,0.0775179788,true,Running_OK
2026-04-06T12:57:12.2207869Z,0,HMD,Hmd,0.703527212,1.22296286,0.0946694613,0.774345696,0.121041633,-0.609727442,0.118195429,true,Running_OK
2026-04-06T12:57:12.2207869Z,4,Controller,RightHand,1.0879401,0.708954453,0.209192514,0.882683218,0.00111761887,-0.448177636,-0.141442388,true,Running_OK
2026-04-06T12:57:12.2207869Z,6,Controller,LeftHand,1.0887692,0.713809013,0.138589501,0.818920493,-0.132960498,-0.55289495,0.0774472505,true,Running_OK
2026-04-06T12:57:12.2318996Z,0,HMD,Hmd,0.70299685,1.22374094,0.0957425833,0.773727238,0.121638365,-0.610426545,0.118024491,true,Running_OK
2026-04-06T12:57:12.2318996Z,4,Controller,RightHand,1.08816695,0.708677888,0.209328651,0.88221705,0.000937161385,-0.448009163,-0.144845039,true,Running_OK
2026-04-06T12:57:12.2318996Z,6,Controller,LeftHand,1.08879602,0.713832021,0.138691664,0.818932116,-0.132770047,-0.552932501,0.0773835108,true,Running_OK
2026-04-06T12:57:12.2430088Z,0,HMD,Hmd,0.702443421,1.22444212,0.0968503952,0.773129284,0.12197978,-0.611114144,0.118032135,true,Running_OK
2026-04-06T12:57:12.2430088Z,4,Controller,RightHand,1.08838403,0.708350182,0.209488153,0.881779969,0.000679785851,-0.44780755,-0.148095012,true,Running_OK
2026-04-06T12:57:12.2430088Z,6,Controller,LeftHand,1.08880937,0.713872433,0.138676643,0.818937421,-0.132663161,-0.552959263,0.0773190781,true,Running_OK
2026-04-06T12:57:12.2541260Z,0,HMD,Hmd,0.701776505,1.22513795,0.0979868174,0.772615075,0.122225963,-0.611689985,0.118161656,true,Running_OK
